metric_formula_name,business_meaning,implementation_path,line,code_snippet,inputs,outputs,edge_case_behavior,fallback_behavior,precision_behavior,duplicate_implementations,status
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,31,init_sentry(service_name='analytics-api'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,33,# --- Decision Intelligence routes ---,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,49,class HTTPException(Exception):  # type: ignore[no-redef],inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,55,class Depends:  # type: ignore[no-redef],inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,57,"def __init__(self, *args, **kwargs):",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,61,class Body:  # type: ignore[no-redef],inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,63,"def __init__(self, *args, **kwargs):",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,67,class Query:  # type: ignore[no-redef],inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,69,"def __init__(self, *args, **kwargs):",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,74,DOCS_PATH = '/docs',inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,75,REDOC_PATH = '/redoc',inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,77,ALLOWED_DATA_DIR = Path('/data/archives').resolve(),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,86,def _loan_records_or_empty(request: 'LoanPortfolioRequest') -> list['LoanRecord']:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,89,"def _safe_log_value(value: Any, max_length: int=200) -> str:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,92,"def _build_kpi_response(kpis: list[Any] | None, source: str='production-snapshot') -> 'KpiResponse':",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,95,def _get(*keys: str) -> Any:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,97,"return KpiResponse(PAR30=_get('PAR30', 'par_30'), PAR90=_get('PAR90', 'par_90'), PAR60=_get('PAR60', 'par_60'), DPD1_30=_get('DPD_1_30', 'dpd_1_30', 'delinq_1_30_rate'), DPD31_60=_get('DPD_31_60', 'dpd_31_60', 'delinq_31_60_rate'), DPD61_90=_get('DPD_61_90', 'dpd_61_90'), DPD90Plus=_get('DPD_90_PLUS",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,99,"async def _resolve_analysis_kpis(request: 'LoanPortfolioRequest', service: 'KPIService') -> list[Any]:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,106,"def _get_kpi_value(kpis: list[Any], candidates: list[str], default: float=0.0) -> float:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,108,"value = next((kpi.value for kpi in kpis if (kpi.id or '').lower() in candidate_set), None)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,111,"def _build_full_analysis_recommendations(kpis: list[Any], roll_rates: 'RollRateAnalyticsResponse') -> list[str]:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
par90,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,113,"par90 = _get_kpi_value(kpis, ['par_90', 'par90'], 0.0)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
collection_rate,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,114,"collection_rate = _get_kpi_value(kpis, ['collections_rate', 'collection_rate'], 0.0)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,119,clv_cac_ratio = clv / cac if cac > 0 else 0.0,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
par90,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,120,if par90 > 5:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,121,recommendations.append('Activate focused recovery actions for the 90+ DPD cohort.'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
collection_rate,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,122,if collection_rate < 90:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
margin,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,125,recommendations.append('Review pricing and direct cost controls to restore gross margin above 20%.'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,127,recommendations.append('Optimize acquisition channels to move CLV/CAC toward a 3x threshold.'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,129,recommendations.append('Launch 90-day retention interventions for at-risk borrowers.'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
