path,classification,reviewed,contains_formula,contains_kpi_logic,contains_risk_logic,contains_duplicate_logic,status,evidence,notes
.bandit.yml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.coveragerc,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.dockerignore,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.editorconfig,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.env.example,ACTIVE_CANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.flake8,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.gitattributes,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.github/CODEOWNERS,ACTIVE_CANONICAL,yes,no,yes,no,no,PASS,,Contains KPI/metric vocabulary.
.github/agents/README.md,DOC_ONLY,yes,no,yes,yes,no,PASS,,Contains KPI/metric vocabulary. Contains risk-related vocabulary.
.github/agents/code_optimizer.md,DOC_ONLY,yes,no,yes,yes,no,PASS,,Contains KPI/metric vocabulary. Contains risk-related vocabulary.
.github/agents/microservice_designer.md,DOC_ONLY,yes,no,yes,yes,no,PASS,,Contains KPI/metric vocabulary. Contains risk-related vocabulary.
.github/agents/qa_engineer.md,DOC_ONLY,yes,no,yes,yes,no,PASS,,Contains KPI/metric vocabulary. Contains risk-related vocabulary.
.github/ci-baselines/full-suite-baseline.json,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.github/codeql-config.yml,ACTIVE_NONCANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.github/copilot-instructions.md,DOC_ONLY,yes,no,no,no,no,PASS,,
.github/dependabot.yml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.github/workflows/deploy-free-tier.yml,ACTIVE_NONCANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.github/workflows/docs-deploy.yml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.github/workflows/etl-pipeline.yml,ACTIVE_NONCANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.github/workflows/local-etl-daily.yml,ACTIVE_NONCANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.github/workflows/pr-checks.yml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.github/workflows/push-to-kv.yml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
