id,severity,file,line,logic,why_dangerous,correct_behavior
CF-0001,MEDIUM,backend/python/apps/analytics/api/main.py,127,recommendations.append('Optimize acquisition channels to move CLV/CAC toward a 3x threshold.'),Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0002,MEDIUM,backend/python/apps/analytics/api/main.py,142,formula = k.context.formula if k.context is not None else 'n/a',Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0003,MEDIUM,backend/python/apps/analytics/api/main.py,157,"return f""Portfolio Cure Rate: {roll_rates.summary.portfolio_cure_rate_pct}%\nPortfolio Roll-Forward Rate: {roll_rates.summary.portfolio_roll_forward_rate_pct}%\nWorst Migration Path: {roll_rates.summary.worst_migration_path or 'n/a'}\nBest Cure Source: {roll_rates.summary.best_cure_source or 'n/a'}\n\n""",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0004,MEDIUM,backend/python/apps/analytics/api/main.py,162,"return round(sum(mature_ratios) / len(mature_ratios), 2)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0005,MEDIUM,backend/python/apps/analytics/api/main.py,217,"_RATE_LIMIT_EXEMPT = {'/health', '/metrics', '/metrics/kpis', DOCS_PATH, '/openapi.json', REDOC_PATH}",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0006,MEDIUM,backend/python/apps/analytics/api/main.py,218,"_AUTH_PATHS = {'/auth/token', '/auth/login', '/auth/refresh'}",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0007,MEDIUM,backend/python/apps/analytics/api/main.py,234,"jwt_exempt_paths = {item.strip() for item in os.getenv('API_JWT_EXEMPT_PATHS', f'/health,/metrics,/metrics/kpis,{DOCS_PATH},/openapi.json,{REDOC_PATH}').split(',') if item.strip()}",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0008,MEDIUM,backend/python/apps/analytics/api/main.py,273,"@app.post('/monitoring/events', response_model=EventsListResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0009,MEDIUM,backend/python/apps/analytics/api/main.py,282,"@app.get('/monitoring/events', response_model=EventsListResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0010,MEDIUM,backend/python/apps/analytics/api/main.py,300,@app.post('/monitoring/events/ack'),Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0011,MEDIUM,backend/python/apps/analytics/api/main.py,310,@app.post('/monitoring/events/{event_id}/ack'),Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
